Wallet;Normal Tokens;Vesting Tokens;Total Tokens;BNB Spent;USDT Spent;Normal Claimed;Vesting Claimed
0xD2541854D142FFE0Bd81Bf21B646209f45B1d98D;5600.0;3100.0;8700.0;0.086445602769780485;81.5;600.0;30.0
0xf198A8E524C6B30D0cBAf85eBe6E39A33Eb6C293;2.0;1.0;3.0;0.000062461496415668;0.0;0.0;0.0
0x6Cf26Ef60654fde80388F7E9107d4779Ee91b2fA;60000.0;0.0;60000.0;0.0;1200.0;0.0;0.0
0x3180916A1e206439aDFabCeff55D30D0493d4CF2;20000.0;0.0;20000.0;0.0;400.0;0.0;0.0
0x94947999a99DE051E5d80Bcc54aE0c743199B178;5000.0;0.0;5000.0;0.114244759508357366;0.0;0.0;0.0
